adm0_name,iso3,X,Y,published,info,airline
Samoa,WSM,-172.44726,-13.620773,2020-03-21,"Flights between Samoa, Australia suspended until further notice because of COVID-19; flights between Apia, Auckland restricted",Samoa Airways
San Marino,SMR,12.46329,43.938418,2010-01-01,null,null
Sao Tome and Principe,STP,6.602138,0.239483,2010-01-01,null,null
Saudi Arabia,SAU,44.547567,24.125926,2020-04-10,Saudia May 2020 International operations as of 10APR20,.Saudia
Scarborough Reef,xSR,117.780897,15.110537,2010-01-01,null,null
Senegal,SEN,-14.446465,14.366687,2020-04-19,Air Senegal extends scheduled service suspension to 30JUN20,.Air Senegal
Senkaku Islands,xSK,123.475678,25.745757,2010-01-01,null,null
Serbia,SRB,20.803944,44.032994,2020-03-20,Air Serbia suspends all operations,Air Serbia
Seychelles,SYC,55.467266,-4.678402,2020-04-20,Air Seychelles suspends scheduled passenger service 10APR20 – 30APR20,Air Seychelles
Sierra Leone,SLE,-11.779615,8.569795,2010-01-01,null,null
Singapore,SGP,103.810539,1.357382,2020-04-25,Singapore Airlines extends flight cancelations to June,Singapore Airlines
Sint Eustatius,ANT,-62.976086,17.490469,2010-01-01,null,null
Sint Maarten,SXM,-63.055268,18.043675,2010-01-01,null,null
Slovakia,SVK,19.484954,48.707416,2010-01-01,null,null
Slovenia,SVN,14.822232,46.119709,2010-01-01,null,null
Solomon Islands,SLB,160.160046,-9.622475,2020-04-08,Solomon Airlines week of 12APR20 domestic operations as of 05APR20,.Solomon Airlines
Somalia,SOM,46.204698,4.409471,2010-01-01,null,null
South Africa,ZAF,24.669618,-29.999172,2020-04-30,Comair expects to remain grounded until at least October ,Comair
South Georgia and the South Sandwich Islands,SGS,-36.678835,-54.378486,2010-01-01,null,null
South Sudan,SSD,30.326187,7.290839,2010-01-01,null,null
Sovereignty unsettled,xxx,35.17027,31.739991,2010-01-01,null,null
Spain,ESP,-3.553995,40.392124,2020-03-20,Spain’s Volotea grounds fleet until 8 April.,Volotea
Spratly Islands,xSI,114.284872,11.052405,2010-01-01,null,null
Sri Lanka,LKA,80.702028,7.610407,2020-05-12,Sri Lankan Airlines resumes some passenger flights from 13 May ,.SriLankan Airlines
Canary Islands,ESP,-16.549663,28.283759,2010-01-01,null,null
Sudan,SDN,29.957256,16.026819,2010-01-01,null,null
Suriname,SUR,-55.905196,4.1356,2010-01-01,null,null
Svalbard and Jan Mayen Islands,SJM,13.378671,78.825308,2010-01-01,null,null
Sweden,SWE,14.377534,60.601031,2020-03-30,SAS week of 29MAR20 European operations as of 29MAR20,SAS (Sweden)
Switzerland,CHE,8.223234,46.9685,2020-04-16,SWISS to continue minimum operations to 17 May because of COVID-19,.Swiss
Syrian Arab Republic,SYR,38.498069,35.017584,2010-01-01,null,null
Tadjikistan,TJK,69.294998,38.430697,2010-01-01,null,null
Taiwan,TWN,120.969668,23.750541,2020-05-07,EVA Air May 2020 operations as of  07MAY20,.EVA Air
Thailand,THA,101.020295,15.130893,2020-04-21,Nok Air April/May 2020 operations as of 19APR20,.Nok Air
Timor-Leste,TLS,125.945119,-8.797487,2010-01-01,null,null
Togo,TGO,0.978236,8.532744,2010-01-01,null,null
Tokelau,TKL,-172.47418,-8.554768,2010-01-01,null,null
Tonga,TON,-175.27529,-21.159087,2010-01-01,null,null
Trinidad and Tobago,TTO,-61.296613,10.423121,2010-01-01,null,null
Tromelin Island,xFR,54.524013,-15.891713,2010-01-01,null,null
Tunisia,TUN,9.560349,33.774827,2020-04-11,"Nouvelair Tunisie revises planned new service in S20
",.Nouvelair Tunisie
Glorioso Islands,xFR,47.297676,-11.579769,2010-01-01,null,null
Cape Verde,CPV,-23.624781,15.083715,2020-03-18,Cabo Verde Airlines suspends all operations for at least 30 days,Cabo Verde Airlines
Cayman Islands,CYM,-81.243444,19.318294,2020-04-23,Cayman Airways Express extends reduced domestic service to late-May 2020,.Cayman Airways Express
Central African Republic,CAF,20.935595,7.003721,2010-01-01,null,null
Chad,TCD,18.666184,15.362793,2010-01-01,null,null
Chagos Archipelagio,IOT,72.459611,-7.40237,2010-01-01,null,null
Chile,CHL,-71.21981,-35.226443,2020-04-20,LATAM suspends European services until June,LATAM 
China,CHN,104.140337,32.309904,2020-04-21,Air China May 2020 International operations as of 21APR20,.Air China
China/India,"CHN, IND",79.333961,32.875909,2010-01-01,null,null
Christmas Island,CXR,105.637062,-10.485213,2010-01-01,null,null
Clipperton Island,PYF,-109.21719,10.303389,2010-01-01,null,null
Cocos (Keeling) Islands,CCK,96.829094,-12.18439,2010-01-01,null,null
Colombia,COL,-73.079481,3.904939,2020-05-02,Avianca Group May/June 2020 International operations as of 01MAY20,.Avianca
Comoros,COM,43.354136,-11.66225,2010-01-01,null,null
Congo,COG,15.221024,-0.840003,2010-01-01,null,null
Cook Islands,COK,-159.77791,-21.23477,2010-01-01,Air Rarotonga 21APR20 – 31MAY20 Interim operations as of 28APR20,.Air Rarotonga
Costa Rica,CRI,-84.193641,9.974905,2010-01-01,null,null
Côte d'Ivoire,CIV,-5.552758,7.622364,2010-01-01,null,null
Croatia,HRV,17.958746,45.451704,2020-05-02,Croatia Airlines resumes domestic service from 11MAY20,.Croatia Airlines 
Cuba,CUB,-79.54237,22.094607,2020-04-22,Cubana April 2020 operations as of 19APR20,.Cubana de Aviacion
Curaçao,CUW,-69.056155,12.230503,2010-01-01,null,null
Cyprus,CYP,33.221964,35.05631,2010-01-01,null,null
Czech Republic,CZE,15.331513,49.73914,2020-05-11,CSA Czech Airlines May 2020 scheduled operations as of 10MAY20 (eff.18MAY20),.Czech Airlines
Dekelia,xUK,33.789214,35.01813,2010-01-01,null,null
Democratic People's Republic of Korea,PRK,127.180425,40.146267,2010-01-01,null,null
Democratic Republic of the Congo,COD,23.655976,-2.876871,2010-01-01,null,null
Denmark,DNK,9.357947,56.264252,2020-04-20,SAS week of 19APR20 operations,.SAS
Djibouti,DJI,42.182803,11.560073,2010-01-01,null,null
Dominica,DMA,-61.350113,15.434742,2010-01-01,null,null
Dominican Republic,DOM,-70.499109,18.898312,2010-01-01,null,null
Ecuador,ECU,-78.370318,-1.447653,2020-05-12,Avianca Ecuador plans Quito – Lago Agrio service from July 2020,.Avianca Ecuador
Egypt,EGY,29.776611,26.5826,2020-03-16,"Suspension of Egypt's air traffic does not include domestic, cargo flights",EgyptAir
El Salvador,SLV,-88.866407,13.733507,2010-01-01,null,null
Equatorial Guinea,GNQ,10.46817,1.567542,2010-01-01,null,null
Eritrea,ERI,38.110583,16.128858,2010-01-01,null,null
Estonia,EST,25.837845,58.683671,2010-01-01,null,null
Eswatini,SWZ,31.501493,-26.56471,2010-01-01,null,null
Ethiopia,ETH,39.635053,8.631222,2020-04-29,Ethiopian Airlines 01 – 15MAY20 Long-Haul operations as of 29APR20,.Ethiopian
Europa Island,xFR,40.346587,-22.364862,2010-01-01,null,null
Falkland Islands (Malvinas),FLK,-58.753229,-51.741167,2010-01-01,null,null
Faeroe Islands,FRO,-7.12897,62.204737,2020-04-29,Atlantic Airways Faroe Islands extends interim schedule to 01JUN20,.Atlantic Airways
Fiji,FJI,177.964016,-17.835777,2020-04-29,Fiji Link resumes all domestic routes from Suva from 03MAY20,.Fiji Link
Finland,FIN,23.308447,61.915867,2020-03-16,"Finnair cuts capacity by 90%, maintains critical air connections for Finland",Finnair
France,FRA,2.45652,46.627084,2020-04-28,ASL Airlines France expands Algeria network in summer 2020,.ASL Airlines France
French Guiana,GUF,-53.236712,3.921491,2010-01-01,null,null
French Polynesia,PYF,-149.40089,-17.677522,2020-05-08,Air Tahiti Nui extends passenger service suspension to late-June 2020,.Air Tahiti Nui
French Southern Territories,ATF,69.642419,-49.605893,2010-01-01,null,null
Gabon,GAB,11.800744,-0.606228,2010-01-01,null,null
Gambia,GMB,-15.39888,13.453329,2010-01-01,null,null
Gaza,PSE,34.306254,31.323248,2010-01-01,null,null
Georgia,GEO,43.371361,42.04813,2010-01-01,null,null
Germany,DEU,10.380614,51.08868,2020-04-21,Condor extends interim schedule to 15MAY20,.Condor
Ghana,GHA,-1.205759,7.965053,2020-04-20,Africa World Airways resume limited operation from 21APR20,.Africa World Airways
Gibraltar,GIB,-5.34852,36.137681,2010-01-01,null,null
Lithuania,LTU,23.905248,55.336787,2010-01-01,null,null
Luxembourg,LUX,6.092653,49.776797,2020-04-21,Luxair extends flight suspensions until 30 May because of COVID-19,Luxair
Madagascar,MDG,46.696474,-19.382363,2010-01-01,null,null
Madeira Islands,PRT,-16.972586,32.736569,2010-01-01,null,null
Malawi,MWI,33.488462,-13.408199,2010-01-01,null,null
Malaysia,MYS,116.834631,5.452415,2020-05-02,Malaysia Airlines July – October 2020 International operations as of 01MAY20,.Malaysia Airlines
Maldives,MDV,73.545949,1.92666,2020-03-28,FlyMe temporarily halts flights to prevent spread of COVID-19,Flyme
Mali,MLI,-3.527933,17.358919,2010-01-01,null,null
Malta,MLT,14.440213,35.888112,2020-03-19,Air Malta will suspend all commercial flights until further notice because of COVID-19 on 20 March 2020,Air Malta 
Marshall Islands,MHL,168.111299,5.617142,2010-01-01,null,null
Martinique,MTQ,-60.914458,14.566542,2010-01-01,null,null
Mauritania,MRT,-10.340357,20.263334,2010-01-01,null,null
Mauritius,MUS,57.572082,-20.283505,2020-04-22,Air Mauritius enters voluntary administration due to coronavirus,Air Mauritius
Mayotte,MYT,45.14408,-12.823484,2010-01-01,null,null
Mexico,MEX,-102.52608,23.944025,2020-03-31,Volaris airline to reduce capacity during April ,Volaris
Micronesia (Federated States of),FSM,158.227402,6.881751,2010-01-01,null,null
Midway Island,UMI,-177.37823,28.209428,2010-01-01,null,null
Monaco,MCO,7.431613,43.748919,2010-01-01,null,null
Mongolia,MNG,103.069763,46.836428,2010-01-01,null,null
Montenegro,MNE,19.252232,42.78762,2020-04-22,Montenegro Airlines pushes back resumption of operations until 7 May because of COVID-19,Montenegro Airlines
Montserrat,MSR,-62.189766,16.739531,2010-01-01,null,null
Morocco,MAR,-6.281337,31.841712,2020-02-20,"Royal Air Maroc suspends international flights (and domestic flights, Reuters 21.03.2020)",Royal Air Maroc
Mozambique,MOZ,38.182474,-14.279733,2020-04-27,LAM Mozambique resumes Lisbon service from June 2020,.LAM
Myanmar,MMR,96.517823,21.201016,2010-01-01,null,null
Namibia,NAM,17.22161,-22.138825,2020-05-03,Air Namibia Resumes Domestic Flight Operations,.Air Namibia 
Nauru,NRU,166.934165,-0.5285,2020-04-30,Nauru Airlines May 2020 Operational schedule revision,.Nauru Airlines
Navassa Island,UMI,-75.012453,18.401927,2010-01-01,null,null
Nepal,NPL,83.946789,28.258663,2020-03-21,Himalaya Airlines temporarily suspends all flights because of COVID-19,Himalaya Airlines 
Netherlands,NLD,5.331481,51.867289,2020-03-31,"Transavia Airlines (Netherlands) cancels all flights until May 6
",Transavia
New Caledonia,NCL,165.514337,-21.410423,2010-01-01,null,null
Greece,GRC,22.583055,39.473008,2020-04-28,Aegean Airlines Apr/May 2020 Operations as of 28APR20,.Aegean
New Zealand,NZL,170.475567,-43.987216,2020-03-21,Air New Zealand flights between Faleolo and Auckland will be once a week for both carriers as well until further notice.,Air New Zealand
Nicaragua,NIC,-85.038304,12.845729,2010-01-01,null,null
Niger,NER,9.403063,17.423744,2010-01-01,null,null
Nigeria,NGA,8.111462,9.619246,2020-03-27,Ibom Air to suspend flights from 29 March,Ibom Air
Niue,NIU,-169.85833,-19.05187,2010-01-01,null,null
Norfolk Island,NFK,167.952344,-29.032574,2010-01-01,null,null
North Macedonia,MKD,21.700791,41.60048,2010-01-01,null,null
Northern Mariana Islands,MNP,145.753646,15.188972,2010-01-01,null,null
Norway,NOR,11.478464,61.343111,2020-04-20,Norwegian 26APR20 – 30MAY20 operations as of 19APR20,Norwegian
Oman,OMN,57.879121,21.990536,2020-03-17,Oman Air May 2020 Europe preliminary operations as of 17APR20,.Oman Air
Pakistan,PAK,68.808093,29.37884,2020-04-06,PIA suspends flight operations from Karachi after pilots quarantined,PIA
Palau,PLW,134.56581,7.499895,2010-01-01,null,null
Palmyra Atoll,UMI,-162.08226,5.887362,2010-01-01,null,null
Panama,PAN,-80.09271,8.520588,2020-04-24,Copa Airlines to Restart Operations on 01JUN20,COPA Airlines
Papua New Guinea,PNG,145.859066,-6.758285,2010-01-01,null,null
Paracel Islands,xPI,112.338214,16.834463,2010-01-01,null,null
Paraguay,PRY,-60.548542,-21.702162,2010-01-01,null,null
Peru,PER,-71.821304,-13.590187,2010-01-01,null,null
Philippines,PHL,120.861863,14.16474,2020-05-13,AirAsia cancels flights until 31 May amid COVID-19 outbreak,Philippine AirAsia
Pitcairn,PCN,-128.32289,-24.376819,2010-01-01,null,null
Poland,POL,19.406603,52.122668,2020-05-08,LOT Polish Airlines extends its cancelled schedule until May 31,LOT
Portugal,PRT,-7.961526,39.685014,2020-03-30,TAP Air Portugal further downsizes operation 01APR20 – 04MAY20,TAP
Puerto Rico,PRI,-66.479397,18.224744,2010-01-01,null,null
Qatar,QAT,51.193104,25.286199,2020-04-09,Qatar Airways NS20 Operations,.Qatar Airways
Moldova,MDA,28.465062,47.202368,2020-05-07,HiSky further delays service launch to June 2020,.HiSky
Greenland,GRL,-41.393713,74.756257,2020-04-08,Air Greenland halts all flights through 30 April,Air Greenland
Grenada,GRD,-61.683617,12.11436,2010-01-01,null,null
Guam,GUM,144.702964,13.35781,2020-04-30,"United Airlines will resume flights between Guam, Saipan on 2 May ",.United Airlines
Guatemala,GTM,-91.231217,15.003765,2010-01-01,null,null
Guernsey,GGY,-2.579585,49.455676,2010-01-01,null,null
Guinea,GIN,-11.280731,11.005651,2010-01-01,null,null
Guinea-Bissau,GNB,-14.400762,12.117902,2010-01-01,null,null
Guyana,GUY,-58.972763,4.792405,2020-04-20,LIAT suspends flights until 15 May because of COVID-19 ,Liat
Haiti,HTI,-73.051343,18.321716,2010-01-01,null,null
Hala'ib Triangle,"EGY, SDN",35.507186,22.367022,2010-01-01,null,null
Heard Island and McDonald Islands,HMD,73.513147,-53.10263,2010-01-01,null,null
Holy See,VAT,12.453166,41.903448,2010-01-01,null,null
Honduras,HND,-86.613529,14.820544,2010-01-01,null,null
Hong Kong,HKG,114.026644,22.397976,2020-04-15,HK Express extends suspension of all flights until 18 June because of COVID-19 ,HK Express
Howland Island,UMI,-176.61696,0.807086,2010-01-01,null,null
Hungary,HUN,19.412215,47.16514,2020-04-29,Wizz Air week of 01MAY20 operations as of 29APR20,.Wizz Air
Iceland,ISL,-19.013973,64.790408,2020-04-29,Icelandair week of 27APR20 operations as of 28APR20,.Icelandair
Ilemi Triangle,"SSD, KEN",35.037697,4.760151,2010-01-01,null,null
India,IND,79.357702,22.348341,2020-04-05,Air Deccan ceases operations until further notice ,Air Deccan
Indonesia,IDN,113.914701,-0.989601,2020-03-27,Air Asia grounds most of its fleet,Indonesia AirAsia
Iran,IRN,54.198056,32.741278,2020-04-04,Iran Air suspends flights to Germany amid COVID-19 surge,Iran Air
Iraq,IRQ,43.766062,33.050139,2010-01-01,null,null
Ireland,IRL,-7.121425,53.252771,2020-03-23,Aer Lingus Regional operator reduces schedule,Aer Lingus
Isle of Man,IMN,-4.537589,54.228634,2010-01-01,null,null
Israel,ISR,34.62278,31.061646,2020-03-30,"Wizz Air to resume some flights to London, Tel Aviv and Vienna in May ",.Wizz Air
Italy,ITA,12.573635,42.793176,2020-04-20,Alitalia week of 19APR20 Europe/Domestic operations,.Alitalia
Jamaica,JAM,-77.310683,18.157878,2010-01-01,null,null
Jammu and Kashmir,"IND, PAK",75.804539,34.554501,2010-01-01,null,null
Japan,JPN,139.27161,36.655454,2020-04-14,Japan Airlines suspends 94 percent of flights in May,JAL
Jarvis Island,UMI,-159.99739,-0.373312,2010-01-01,null,null
Jersey,JEY,-2.132466,49.224292,2010-01-01,null,null
Johnston Atoll,UMI,-169.53344,16.729127,2010-01-01,null,null
Jordan,JOR,37.129891,30.653807,2020-03-26,Royal Jordanian extends passenger service suspension to 13APR20,Royal Jordanian
Kazakhstan,KAZ,66.653592,48.019634,2020-04-29,SCAT 01 – 15MAY20 Interim operations as of 28APR20,SCAT Air Company
Kenya,KEN,37.861019,0.53472,2020-04-07,Jambojet will temporarily suspend all its operations until 30 April because of COVID-19,Jambojet
Kingman Reef,UMI,-162.5614,6.478546,2010-01-01,null,null
Kiribati,KIR,-157.36432,1.85776,2020-05-13,Air Kiribati suspends scheduled operation 10 – 19MAY20,Air Kiribati
Kosovo,RKS,20.966191,42.467542,2010-01-01,null,null
Kuril Islands,"RUS, JPN",147.877949,45.076156,2010-01-01,null,null
Kuwait,KWT,47.492598,29.53972,2020-04-19,Kuwait Airways June – Oct 2020 Intercontinental operations as of 19APR20,.Kuwait Airways
Kyrgyzstan,KGZ,74.523246,41.462046,2010-01-01,null,null
Lao People's Democratic Republic,LAO,101.990197,20.274828,2010-01-01,null,null
Latvia,LVA,26.424619,56.641966,2020-04-21,AirBaltic S20 operations as of 22APR20,.airBaltic
Lebanon,LBN,35.894185,33.921586,2010-01-01,null,null
Lesotho,LSO,28.247043,-29.58314,2010-01-01,null,null
Liancourt Rock,"KOR, JPN",131.864842,37.241642,2010-01-01,null,null
Liberia,LBR,-9.311921,6.448469,2010-01-01,null,null
Libya,LBY,18.029942,27.038767,2010-01-01,null,null
Liechtenstein,LIE,9.552985,47.14167,2010-01-01,null,null
